"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"APOE",2,1696.10452606475,848.052263032374,36.4272532756061,5.93755343292664e-14
"Sex",1,916.656738777291,916.656738777291,39.3740912509737,2.66523156619508e-09
"Age_Cat",1,42.3226455055774,42.3226455055774,1.81792773196869,0.179302630280692
"Diet",1,71.2390029949921,71.2390029949921,3.06000150971966,0.0819946777653956
"APOE:Sex",2,61.9175364541952,30.9587682270976,1.32980352800051,0.267188802896223
"APOE:Age_Cat",2,204.47008918786,102.23504459393,4.39140607885367,0.0137768889162903
"Sex:Age_Cat",1,24.8372485130871,24.8372485130871,1.06685965204583,0.303081156343197
"APOE:Diet",2,278.427266076483,139.213633038241,5.97978508066043,0.00307542706056079
"Sex:Diet",1,4.86289759572643,4.86289759572643,0.208880997191679,0.648212704360814
"Age_Cat:Diet",1,313.496441165905,313.496441165905,13.4659321850257,0.000322290055081174
"APOE:Sex:Age_Cat",2,30.0942634772483,15.0471317386241,0.646334787144302,0.525208820279545
"APOE:Sex:Diet",2,60.8201468813968,30.4100734406984,1.30623488155448,0.273465216329741
"APOE:Age_Cat:Diet",2,243.730436005722,121.865218002861,5.23460092636732,0.00619507395090031
"Sex:Age_Cat:Diet",1,60.5227866948885,60.5227866948885,2.59969694791796,0.10868610197074
"APOE:Sex:Age_Cat:Diet",2,137.46047307309,68.730236536545,2.9522399068387,0.0548294158801672
"Residuals",175,4074.12397821521,23.2807084469441,NA,NA
