"","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.1","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.estimate","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.SE","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.df","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.t.ratio","pairwise.differences.of.APOE..Sex..Age_Cat..Diet.p.value","fdr_adjusted_pvals"
"1","E2HN Female Old Control - E3HN Female Old Control",2.50259722222219,3.65477443029666,184,0.684747381801907,0.999999999002172,1
"2","E2HN Female Old Control - E4HN Female Old Control",0.331263888888887,3.65477443029665,184,0.0906386687350221,1,1
"3","E2HN Female Old Control - E2HN Male Old Control",10.1281527777778,3.65477443029666,184,2.77121145803673,0.465856069954975,1
"4","E2HN Female Old Control - E3HN Male Old Control",10.954575,3.56774350674677,184,3.07044914503646,0.263660613909943,1
"5","E2HN Female Old Control - E4HN Male Old Control",5.0737083333333,5.0920550139094,184,0.996396998750801,0.999998224569711,1
"6","E2HN Female Old Control - E2HN Female Young Control",-6.55242499999999,3.56774350674677,184,-1.83657401032587,0.976583944812867,1
"7","E2HN Female Old Control - E3HN Female Young Control",-0.889352272727305,3.4949247536642,184,-0.254469648250617,1,1
"8","E2HN Female Old Control - E4HN Female Young Control",0.736263888888852,3.65477443029665,184,0.20145262120297,1,1
"9","E2HN Female Old Control - E2HN Male Young Control",2.85914423076923,3.37983378649003,184,0.845942259704569,0.999999925198843,1
"10","E2HN Female Old Control - E3HN Male Young Control",1.24245192307689,3.37983378649003,184,0.367607403666789,1,1
"11","E2HN Female Old Control - E4HN Male Young Control",2.953125,4.6059370617233,184,0.641156177434846,0.999999999749853,1
"12","E2HN Female Old Control - E2HN Female Old HFD",0.510125000000028,4.60593706172331,184,0.110753793020603,1,1
"13","E2HN Female Old Control - E3HN Female Old HFD",5.26774999999999,3.76073186286537,184,1.40072469723656,0.999379983222368,1
"14","E2HN Female Old Control - E4HN Female Old HFD",NA,NA,NA,NA,NA,NA
"15","E2HN Female Old Control - E2HN Male Old HFD",2.60212499999999,4.6059370617233,184,0.564950186059731,0.999999999983331,1
"16","E2HN Female Old Control - E3HN Male Old HFD",13.6075416666667,4.06205467324514,184,3.34991593202652,0.134606035474415,1
"17","E2HN Female Old Control - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"18","E2HN Female Old Control - E2HN Female Young HFD",-4.24162500000003,3.37983378649004,184,-1.25498035345844,0.999893044264299,1
"19","E2HN Female Old Control - E3HN Female Young HFD",1.64087499999998,3.43306279003298,184,0.477962420251631,1,1
"20","E2HN Female Old Control - E4HN Female Young HFD",8.17631617647057,3.22480096790881,184,2.53544831381413,0.647741964385254,1
"21","E2HN Female Old Control - E2HN Male Young HFD",0.929575000000006,3.56774350674678,184,0.260549840043751,1,1
"22","E2HN Female Old Control - E3HN Male Young HFD",1.07287499999999,3.56774350674677,184,0.300715283475713,1,1
"23","E2HN Female Old Control - E4HN Male Young HFD",6.07901785714284,3.33353250630276,184,1.82359639381022,0.978394774987684,1
"24","E3HN Female Old Control - E4HN Female Old Control",-2.17133333333331,3.54565200327523,184,-0.612393244268636,0.999999999905634,1
"25","E3HN Female Old Control - E2HN Male Old Control",7.62555555555558,3.54565200327523,184,2.15067794259324,0.888097618667112,1
"26","E3HN Female Old Control - E3HN Male Old Control",8.45197777777781,3.45587408941835,184,2.44568452411423,0.714054581173178,1
"27","E3HN Female Old Control - E4HN Male Old Control",2.57111111111111,5.01430915048716,184,0.512754805088416,0.999999999998127,1
"28","E3HN Female Old Control - E2HN Female Young Control",-9.05502222222218,3.45587408941836,184,-2.62018290826857,0.582510968220907,1
"29","E3HN Female Old Control - E3HN Female Young Control",-3.3919494949495,3.38064653960662,184,-1.0033434300837,0.999997977654778,1
"30","E3HN Female Old Control - E4HN Female Young Control",-1.76633333333334,3.54565200327523,184,-0.498168836564255,0.99999999999909,1
"31","E3HN Female Old Control - E2HN Male Young Control",0.356547008547032,3.261525473805,184,0.10931909359919,1,1
"32","E3HN Female Old Control - E3HN Male Young Control",-1.2601452991453,3.261525473805,184,-0.386366842530031,1,1
"33","E3HN Female Old Control - E4HN Male Young Control",0.450527777777804,4.51983718827744,184,0.0996778775452983,1,1
"34","E3HN Female Old Control - E2HN Female Old HFD",-1.99247222222217,4.51983718827744,184,-0.440828317309704,1,1
"35","E3HN Female Old Control - E3HN Female Old HFD",2.7651527777778,3.65477443029665,184,0.75658644069953,0.999999992136978,1
"36","E3HN Female Old Control - E4HN Female Old HFD",NA,NA,NA,NA,NA,NA
"37","E3HN Female Old Control - E2HN Male Old HFD",0.0995277777777975,4.51983718827743,184,0.0220202130368614,1,1
"38","E3HN Female Old Control - E3HN Male Old HFD",11.1049444444445,3.96415945194086,184,2.80133646970418,0.443226342044398,1
"39","E3HN Female Old Control - E4HN Male Old HFD",NA,NA,NA,NA,NA,NA
"40","E3HN Female Old Control - E2HN Female Young HFD",-6.74422222222223,3.26152547380499,184,-2.06781221743892,0.920951353902835,1
"41","E3HN Female Old Control - E3HN Female Young HFD",-0.861722222222214,3.31665375224614,184,-0.259816757066856,1,1
"42","E3HN Female Old Control - E4HN Female Young HFD",5.67371895424838,3.1005827314563,184,1.82988794225256,0.977531093479111,1
"43","E3HN Female Old Control - E2HN Male Young HFD",-1.57302222222219,3.45587408941836,184,-0.45517347609355,1,1
"44","E3HN Female Old Control - E3HN Male Young HFD",-1.4297222222222,3.45587408941834,184,-0.413707845028243,1,1
"45","E3HN Female Old Control - E4HN Male Young HFD",3.57642063492065,3.21352002678628,184,1.11292931275032,0.999986535348552,1
"46","E4HN Female Old Control - E2HN Male Old Control",9.79688888888888,3.54565200327523,184,2.76307118686188,0.472027137228511,1
"47","E4HN Female Old Control - E3HN Male Old Control",10.6233111111111,3.45587408941835,184,3.07398673569705,0.261639868898814,1
"48","E4HN Female Old Control - E4HN Male Old Control",4.74244444444441,5.01430915048716,184,0.945782220863599,0.999999339442053,1
"49","E4HN Female Old Control - E2HN Female Young Control",-6.88368888888887,3.45587408941836,184,-1.99188069668575,0.944682376592898,1
"50","E4HN Female Old Control - E3HN Female Young Control",-1.22061616161619,3.38064653960662,184,-0.36105997693513,1,1
"51","E4HN Female Old Control - E4HN Female Young Control",0.404999999999965,3.54565200327523,184,0.114224407704381,1,1
"52","E4HN Female Old Control - E2HN Male Young Control",2.52788034188034,3.26152547380499,184,0.77506073835175,0.99999998713544,1
