Experiments,Test,Animal,ID,Treatment,Diet,Age_month,Age_Cat,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1.headtime,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2.headtime,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone.headtime,Outerzone.distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone.time.freezing,Centerzone : head entries,Centerzone.headtime,Centerzone.distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone.time.freezing,Object 3 : head entries,Object 3.headtime,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total.Distance,Total.Time.Freezing
APOE_190610_E44,1,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,openfield,1,2Objects_NOR,,,,,,,,,,,,,,,,,104,337.2,16.27,2.1,0.05,222.2,102.6,284,16.4,78,99.2,5.988,0,0.071,61.8,22.4,6.2,,,,,,,,,83.4,96,22.258,22.6
APOE_190610_E44,11,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Dilutions,1,2Objects_NOR,5,6.4,0.520325203,13.9,2.3,4.1,3.8,0,4,5.9,0.479674797,8.8,5.9,0,2.9,0,23,75,6.801,0.9,0.081,78.5,5.6,80.3,1.1,14,16.9,0.067,0,0.037,1.8,0,0,4,5,,0,8,9.6,110.4,0.1,23.9,18.8,6.868,1.1
APOE_190610_E44,21,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Dilutions,2,2Objects_NOR,1,1.6,0.444444444,104.3,1.6,0,1.2,0,2,2,0.555555556,0,2,0,0.8,0,18,84.6,5.727,4.8,0.059,63.1,33.6,67.1,3.4,9,9.7,0.249,0,0.041,4,2.1,0,2,1.2,90.9,0,3,3.5,,0,31.6,28.9,5.976,3.4
APOE_190610_E44,31,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Dilutions,3,2Objects_NOR,7,8.5,0.534591195,37.9,8.2,0.3,4.5,0,9,7.4,0.465408805,3.9,7.4,0,4.5,0,23,70.8,4.757,5,0.068,55.2,14.4,74.4,0,15,23.9,1.26,0,0.066,19.2,0,0,5,6.4,112.3,0.2,6,3.2,,0,18.3,19.3,6.017,0
APOE_190610_E44,41,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Dilutions,4,2Objects_NOR,0,0,0,,0,0,0,0,1,0.5,1,1.1,0.5,0,0.5,0,2,115.6,1.317,4.5,0.011,14.6,100.7,17.9,48.9,1,3.1,0.152,0,0.047,3.3,0,0,0,0,,0,0,0,,0,45.9,46.7,1.469,48.9
APOE_190610_E44,51,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Day1_vanilla,5,2Objects_NOR,0,0,0,,0,0,0,0,1,0.7,1,0,0.7,0,0.4,0,19,78.3,2.071,3.1,0.018,34.5,78.3,36.6,43.9,1,1.4,0.115,0,0.056,2.1,0,0,0,0,,0,1,0.1,2.1,0,27.9,22.3,2.186,43.9
APOE_190610_E44,61,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,1,2Objects_NOR,2,5.8,0.343195266,31.8,3.5,2.3,2.4,0,5,11.1,0.656804734,14.6,11.1,0,1.8,0,8,91.6,1.573,2.7,0.017,22.7,68.2,31.5,25.5,8,16.5,0.329,14.3,0.037,8.8,0,1.1,3,1.3,2,0,1,1.2,14.1,0,8.2,7.7,1.902,26.6
APOE_190610_E44,63,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,2,2Objects_NOR,2,8,1,93.3,5.8,2.2,4.8,0,0,0,0,,0,0,0,0,7,93.4,1.203,1.7,0.012,24.7,76.9,27.4,32.5,6,5.6,0.229,0,0.085,2.7,0,0,0,0,,0,2,0.7,1.1,0,22.1,14.3,1.432,32.5
APOE_190610_E44,65,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Day2_IdenticalObject,3,2Objects_NOR,4,10,0.757575758,100.4,4,6,3,1.1,2,3.2,0.242424242,89.2,3.2,0,2,0,13,61.8,2.332,0,0.025,44.4,48,50.6,21.8,4,13.9,0.286,97.8,0.025,6.2,5.3,0,4,10,101.1,0,2,3.2,,0,47.1,42.8,2.618,21.8
APOE_190610_E44,67,061019_1,190610_1,E44M,Control,14,Young,Male,E44,A,Day2_ShortTermMemory,4,2Objects_NOR,1,3.8,0.422222222,76.8,3.8,0,0.6,0,3,5.2,0.577777778,11.3,5.2,0,2.7,0,13,103.8,2.286,0,0.021,24.8,83.3,28.3,49.6,5,4,0.231,79.5,0.066,3.5,0,0,1,3.8,79.1,0,3,5.2,85.5,0,20.8,21.8,2.517,49.6
