CIVM_ID,Age_Months
190610_1,16.2
190610_6,16.2
190610_2:1,16.2
190610_7:1,16.2
190610_3:1,16.2
190610_8:1,16.2
190715_7:1,15.57
190715_6:1,15.57
190715_8:1,15.57
190715_9:1,15.57
190715_10:1,16.57
190610_4:1,16.2
190610_9:1,16.2
190610_5:1,16.2
190610_10:1,16.2
190715_1:1,16.57
190715_2:1,16.57
190715_3:1,16.57
190715_5:1,17.73
190715_4:1,17.73
190909_9:1,17.53
190909_10:1,17.53
190909_11:1,17.53
190909_12:1,17.53
190909_13:1,17.53
190909_14:1,17.47
191028_7:1,15.27
191028_3:1,15.27
191028_6:1,15.27
191028_4:1,15.27
191028_5:1,15.27
200331-14:0,19.4
200331-15:0,19.4
200331-16:0,17.6
200331-17:0,19.4
200331-18:0,19.4
200331-20:0,19.4
200302-10:0,18.73
200302-11:0,18.73
200302-12:0,18.73
200302-3:0,18.5
200302-4:0,18.5
200302-5:0,18.5
200302-6:0,18.5
200302-7:0,18.5
200302-8:0,18.5
200302-9:0,18.5
200331-1:0,17.47
200331-2:0,18.17
200331-3:0,18.17
200331-4:0,18.17
200331-5:0,18.17
200331-7:0,18.17
200331-8:0,18.17
200331-9:0,18.17
200331-10:0,18.17
200331-11:0,18.17
200331-12:0,18.17
200331-13:0,18.17
201015-1:0           ,10.1
210624-1:0,20.6
210624-2:0,20.6
210624-3:0,20.6
210624-4:0,19.97
210624-5:0,19.97
210624-6:0,19.97
210624-7:0,19.97
210624-8:0,19.97
210624-9:0,19.97
210624-10:0,19.97
210624-11:0,19.77
210624-12:0,19.2
210624-13:0,19.2
210624-14:0,19.77
210624-15:0,19.2
210624-16:0,19.2
210113-1:0           ,20.53
210113-2:0           ,17.1
210113-3:0           ,13.5
210113-4:0           ,20.53
210216-1:0           ,8
210118-1:0           ,13.57
210118-2:0           ,13.57
210118-3:0           ,13.37
210118-8:0           ,14.23
210118-10:0           ,14.23
210118-11:0           ,15.4
210118-12:0           ,14.77
210118-13:0           ,12.4
210118-15:0           ,14.03
210118-16:0           ,14.03
210118-4:0           ,14.67
210118-5:0           ,14.67
210118-6:0           ,14.67
210118-7:0           ,14.67
210118-9:0           ,14.7
210118-17:0           ,14.47
210118-18:0           ,14.47
210118-19:0           ,14.43
210118-20:0           ,14.43
210118-21:0           ,14.47
210118-22:0           ,14.47
210118-23:0           ,14.47
210118-24:0           ,14.5
210118-25:0           ,14.5
210118-26:0           ,14.5
210118-27:0           ,14.5
210201-2:0,17.23
210201-3:0,17.23
210201-4:0,17.23
210201-5:0,17.23
210201-6:0,14.97
210201-7:0,14.97
210201-8:0,14.97
210201-9:0,14.97
210201-10:0,14.97
210201-11:0,14.3
210201-12:0,14.3
210201-13:0,14.3
210201-14:0,14.77
210201-15:0,14.77
210201-16:0,14.77
210201-17:0,16.83
210201-18:0,16.83
210201-19:0,14.33
210222-1:0,14.5
210222-2:0,14.5
210222-3:0,14.5
210222-4:0,14.5
210222-5:0,14.5
210222-6:0,14.5
210222-7:0,15.5
210222-8:0,15.5
210222-9:0,15.5
210222-10:0,15
210222-11:0,15
210222-12:0,15.03
210222-13:0,15.03
210222-14:0,15.03
210222-15:0,15.03
210222-16:0,15.03
210222-17:0,15.7
210730-4:0,
210817-1:0,16.37
210817-2:0,16.07
210817-3:0,16.07
210817-4:0,16.07
210817-5:0,15.87
210730-3:0,15.87
210817-6:0,15.87
210817-7:0,15.87
210817-8:0,15.87
210817-9:0,15.6
210730-5:0,15.67
210817-10:0,15.7
210817-11:0,15.67
210730-6:0,15.67
210817-12:0,17.27
210817-13:0,15.63
210817-14:0,16.4
210730-7:0,16.43
210730-8:0,16.4
210817-15:0,16.4
210817-16:0,16.07
210817-17:0,16.43
210817-18:0,16.1
210817-19:0,15.93
211001-1:0,16.63
211001-2:0,16.63
211001-3:0,16.63
211001-4:0,16.63
211001-5:0,16.63
211001-6:0,15.07
211001-7:0,15.07
211001-8:0,15.07
211001-9:0,15.07
210730-2:0,15.07
211001-10:0,15.77
211001-11:0,15.77
211001-12:0,15.77
211001-13:0,15.77
211001-14:0,15.77
211001-15:0,15.77
211001-16:0,15.77
211001-17:0,15.77
211001-18:0,15.77
211001-19:0,15.77
211001-20:0,15.83
211001-21:0,15.83
211001-22:0,15.83
211001-23:0,15.83
211001-24:0,15.83
210730-1:0,15.43
211001-25:0,15.43
211001-26:0,15.87
211001-27:0,15.87
211001-28:0,15.87
211001-29:0,15.87
211001-30:0,15.87
211001-31:0,15.47
211001-32:0,15.47
211001-33:0,15.47
211001-34:0,15.47
211001-35:0,
211001-36:0,
211001-37:0,
211001-38:0,
211001-39:0,
211001-40:0,
211001-41:0,
211001-42:0,
211001-43:0,
211001-44:0,
210809-1:0,14.77
210809-2:0,14.77
210809-3:0,14.43
210809-4:0,15.03
210809-5:0,15.03
210809-6:0,15.03
210809-7:0,15.03
210906-1:0,14.33
210906-2:0,14.33
